Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,betweenness_centrality
AALST,231,359.83,1.56,47,12.0,2.0,5.19,0.87,0.0,AALST,6444.0,1768.0,1592.0,6444.0,2318.74,0.11467444120505345
AALST-KERREBROEK,43,28.98,0.67,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001943634596695821
AALTER,331,307.45,0.93,68,23.0,6.0,6.95,1.81,2.0,AALTER,2288.0,1055.0,855.0,2288.0,703.45,0.17978620019436345
AARSCHOT,336,705.98,2.1,69,48.0,2.0,14.29,0.6,3.0,AARSCHOT,6270.0,1954.0,1395.0,6270.0,4426.49,0.11564625850340136
AARSELE,89,367.32,4.13,21,18.0,4.0,20.22,4.49,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04470359572400389
ACREN,79,255.42,3.23,16,20.0,1.0,25.32,1.27,5.0,ACREN,226.0,43.0,50.0,226.0,57.72,0.023323615160349854
AISEAU,223,671.73,3.01,52,37.0,8.0,16.59,3.59,6.0,AISEAU,100.0,15.0,17.0,100.0,67.17,0.14091350826044705
ALKEN,118,303.22,2.57,24,20.0,0.0,16.95,0.0,7.0,ALKEN,647.0,254.0,310.0,647.0,196.18,0.05053449951409135
AMAY,192,410.35,2.14,39,26.0,2.0,13.54,1.04,8.0,AMAY,262.0,68.0,50.0,262.0,107.51,0.12050534499514091
AMPSIN,192,460.22,2.4,39,28.0,2.0,14.58,1.04,9.0,AMPSIN,134.0,30.0,20.0,134.0,61.67,0.1185617103984451
ANDENNE,192,495.3,2.58,39,29.0,4.0,15.1,2.08,10.0,ANDENNE,1746.0,499.0,427.0,1746.0,864.79,0.11564625850340136
ANDERLECHT,440,975.57,2.22,96,53.0,11.0,12.05,2.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.24198250728862974
ANGLEUR,426,1481.22,3.48,88,96.0,18.0,22.54,4.23,11.0,ANGLEUR,565.0,147.0,126.0,565.0,836.89,0.18658892128279883
ANS,334,1078.58,3.23,69,59.0,17.0,17.66,5.09,12.0,ANS,1040.0,118.0,88.0,1040.0,1121.72,0.13896987366375121
ANSEREMME,65,52.87,0.81,13,1.0,0.0,1.54,0.0,13.0,ANSEREMME,51.0,124.0,45.0,51.0,2.7,0.02040816326530612
ANTOING,143,268.82,1.88,29,18.0,4.0,12.59,2.8,14.0,ANTOING,293.0,123.0,107.0,293.0,78.76,0.05830903790087463
ANTWERPEN-BERCHEM,1264,3295.52,2.61,262,146.0,31.0,11.55,2.45,15.0,ANTWERPEN-BERCHEM,17289.0,8163.0,8506.0,17289.0,56976.25,0.4489795918367347
ANTWERPEN-CENTRAAL,800,2085.27,2.61,168,89.0,25.0,11.12,3.12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4645286686103013
ANTWERPEN-LUCHTBAL,391,1427.23,3.65,85,80.0,22.0,20.46,5.63,17.0,ANTWERPEN-LUCHTBAL,1082.0,161.0,93.0,1082.0,1544.26,0.15354713313896987
ANTWERPEN-NOORDERDOKKEN,178,642.15,3.61,37,34.0,7.0,19.1,3.93,18.0,ANTWERPEN-NOORDERDOKKEN,263.0,43.0,16.0,263.0,168.89,0.062196307094266275
ANTWERPEN-ZUID,412,788.25,1.91,83,35.0,5.0,8.5,1.21,19.0,ANTWERPEN-ZUID,3262.0,164.0,175.0,3262.0,2571.27,0.17201166180758018
ANZEGEM,196,395.4,2.02,42,18.0,6.0,9.18,3.06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.05928085519922255
APPELTERRE,149,385.55,2.59,30,22.0,4.0,14.77,2.68,21.0,APPELTERRE,213.0,60.0,54.0,213.0,82.12,0.037900874635568516
ARCADEN,294,761.62,2.59,60,44.0,5.0,14.97,1.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13508260447035958
ARCHENNES,177,179.0,1.01,37,5.0,3.0,2.82,1.69,23.0,ARCHENNES,148.0,10.0,11.0,148.0,26.49,0.06316812439261418
ARLON,200,206.35,1.03,42,4.0,0.0,2.0,0.0,24.0,ARLON,5476.0,1331.0,3075.0,5476.0,1129.97,0.043731778425655975
ASSE,179,644.83,3.6,36,40.0,8.0,22.35,4.47,25.0,ASSE,1085.0,239.0,182.0,1085.0,699.64,0.07677356656948493
ASSESSE,178,309.85,1.74,37,17.0,3.0,9.55,1.69,26.0,ASSESSE,212.0,57.0,40.0,212.0,65.69,0.08066083576287658
ATH,231,740.17,3.2,47,38.0,12.0,16.45,5.19,27.0,ATH,5256.0,1592.0,1712.0,5256.0,3890.33,0.08940719144800778
ATHUS,127,140.55,1.11,26,7.0,0.0,5.51,0.0,28.0,ATHUS,989.0,219.0,169.0,989.0,139.0,0.011661807580174927
AUBANGE,75,105.3,1.4,15,7.0,0.0,9.33,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01652089407191448
AUVELAIS,222,539.97,2.43,49,41.0,5.0,18.47,2.25,30.0,AUVELAIS,492.0,230.0,174.0,492.0,265.67,0.12147716229348883
AYE,118,121.17,1.03,25,14.0,2.0,11.86,1.69,31.0,AYE,45.0,17.0,15.0,45.0,5.45,0.06511175898931001
AYWAILLE,70,205.63,2.94,14,13.0,2.0,18.57,2.86,32.0,AYWAILLE,180.0,87.0,95.0,180.0,37.01,0.031098153547133137
BAASRODE-ZUID,141,288.13,2.04,29,15.0,2.0,10.64,1.42,0.0,0,0.0,0.0,0.0,0.0,0.0,0.08357628765792031
BALEGEM-DORP,111,226.95,2.04,23,8.0,3.0,7.21,2.7,34.0,BALEGEM-DORP,291.0,74.0,72.0,291.0,66.04,0.034013605442176874
BALEGEM-ZUID,111,232.48,2.09,23,9.0,3.0,8.11,2.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03012633624878523
BALEN,58,171.72,2.96,12,12.0,1.0,20.69,1.72,36.0,BALEN,285.0,98.0,71.0,285.0,48.94,0.021379980563654033
BALEN-WERKPLAATSEN,67,256.8,3.83,14,20.0,2.0,29.85,2.99,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03498542274052478
BAMBRUGGE,48,42.35,0.88,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0009718172983479105
BARVAUX,70,106.3,1.52,14,2.0,0.0,2.86,0.0,38.0,BARVAUX,334.0,109.0,132.0,334.0,35.5,0.013605442176870748
BAS-OHA,192,497.02,2.59,39,28.0,3.0,14.58,1.56,39.0,BAS-OHA,56.0,19.0,31.0,56.0,27.83,0.11273080660835763
BASSE-WAVRE,177,149.33,0.84,37,7.0,2.0,3.95,1.13,40.0,BASSE-WAVRE,434.0,31.0,33.0,434.0,64.81,0.07482993197278912
BEAURAING,60,79.8,1.33,12,2.0,0.0,3.33,0.0,41.0,BEAURAING,260.0,83.0,166.0,260.0,20.75,0.01652089407191448
BEERNEM,331,357.6,1.08,68,24.0,5.0,7.25,1.51,42.0,BEERNEM,601.0,172.0,138.0,601.0,214.92,0.19825072886297376
BEERSEL,176,407.55,2.32,36,21.0,2.0,11.93,1.14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06316812439261418
BEERVELDE,250,422.05,1.69,50,25.0,2.0,10.0,0.8,44.0,BEERVELDE,214.0,53.0,38.0,214.0,90.32,0.13119533527696792
BEGIJNENDIJK,188,539.98,2.87,39,27.0,4.0,14.36,2.13,45.0,BEGIJNENDIJK,315.0,108.0,123.0,315.0,170.09,0.05928085519922255
BEIGNEE,72,47.92,0.67,16,2.0,0.0,2.78,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.021379980563654033
BELLEM,331,416.48,1.26,68,21.0,6.0,6.34,1.81,47.0,BELLEM,179.0,45.0,53.0,179.0,74.55,0.2108843537414966
BELSELE,310,400.73,1.29,62,18.0,1.0,5.81,0.32,48.0,BELSELE,431.0,51.0,41.0,431.0,172.71,0.1292517006802721
BERINGEN,59,146.25,2.48,12,11.0,1.0,18.64,1.69,50.0,BERINGEN,135.0,54.0,40.0,135.0,19.74,0.022351797862001945
BERLAAR,190,445.33,2.34,39,23.0,3.0,12.11,1.58,51.0,BERLAAR,375.0,152.0,193.0,375.0,167.0,0.062196307094266275
BERTRIX,134,160.08,1.19,27,4.0,0.0,2.99,0.0,52.0,BERTRIX,329.0,105.0,189.0,329.0,52.67,0.034013605442176874
BERZEE,68,57.85,0.85,15,4.0,0.0,5.88,0.0,53.0,BERZEE,132.0,28.0,25.0,132.0,7.64,0.015549076773566569
BEUZET,287,863.57,3.01,59,52.0,11.0,18.12,3.83,54.0,BEUZET,141.0,21.0,17.0,141.0,121.76,0.12633624878522837
BEVEREN(WAAS),300,480.2,1.6,60,21.0,1.0,7.0,0.33,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13022351797862003
BEVERLO,58,162.78,2.81,12,12.0,1.0,20.69,1.72,56.0,BEVERLO,146.0,53.0,37.0,146.0,23.77,0.02040816326530612
BIERGES-WALIBI,234,234.73,1.0,50,8.0,2.0,3.42,0.85,57.0,BIERGES-WALIBI,146.0,504.0,562.0,146.0,34.27,0.0826044703595724
BIERSET-AWANS,158,298.47,1.89,33,15.0,4.0,9.49,2.53,58.0,BIERSET-AWANS,121.0,34.0,27.0,121.0,36.11,0.05539358600583091
BILZEN,142,243.3,1.71,30,13.0,0.0,9.15,0.0,59.0,BILZEN,555.0,106.0,107.0,555.0,135.03,0.04470359572400389
BILZEN-WIJKSPOOR,142,188.83,1.33,30,10.0,0.0,7.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.05053449951409135
BINCHE,30,23.23,0.77,7,1.0,0.0,3.33,0.0,60.0,BINCHE,335.0,187.0,154.0,335.0,7.78,0.028182701652089408
BISSEGEM,89,244.53,2.75,18,13.0,1.0,14.61,1.12,61.0,BISSEGEM,272.0,85.0,131.0,272.0,66.51,0.03498542274052478
BLANKENBERGE,39,40.95,1.05,8,1.0,0.0,2.56,0.0,62.0,BLANKENBERGE,1790.0,1348.0,1679.0,1790.0,73.3,0.025267249757045675
BLANMONT,290,789.68,2.72,60,52.0,10.0,17.93,3.45,63.0,BLANMONT,172.0,22.0,16.0,172.0,135.82,0.14965986394557823
BLATON,148,334.88,2.26,30,17.0,6.0,11.49,4.05,64.0,BLATON,536.0,190.0,141.0,536.0,179.5,0.06608357628765792
BLERET,158,327.97,2.08,33,16.0,4.0,10.13,2.53,0.0,0,0.0,0.0,0.0,0.0,0.0,0.052478134110787174
BOCKSTAEL,259,609.97,2.36,52,40.0,4.0,15.44,1.54,66.0,BOCKSTAEL,929.0,129.0,107.0,929.0,566.66,0.09815354713313897
BOECHOUT,403,525.45,1.3,82,23.0,4.0,5.71,0.99,67.0,BOECHOUT,424.0,143.0,186.0,424.0,222.79,0.13508260447035958
BOIS D'AUSSE,178,280.5,1.58,37,17.0,3.0,9.55,1.69,0.0,0,0.0,0.0,0.0,0.0,0.0,0.08843537414965986
BOKRIJK,84,180.15,2.14,17,13.0,0.0,15.48,0.0,69.0,BOKRIJK,171.0,73.0,157.0,171.0,30.81,0.031098153547133137
BOMAL,65,81.85,1.26,13,2.0,0.0,3.08,0.0,70.0,BOMAL,236.0,65.0,112.0,236.0,19.32,0.024295432458697766
BOOISCHOT,189,511.58,2.71,39,24.0,4.0,12.7,2.12,71.0,BOOISCHOT,293.0,118.0,79.0,293.0,149.89,0.04956268221574344
BOOM,111,175.4,1.58,24,9.0,1.0,8.11,0.9,72.0,BOOM,428.0,34.0,36.0,428.0,75.07,0.04178814382896016
BOONDAAL,294,737.43,2.51,60,45.0,5.0,15.31,1.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1379980563654033
BOORTMEERBEEK,165,323.73,1.96,35,18.0,3.0,10.91,1.82,74.0,BOORTMEERBEEK,604.0,196.0,185.0,604.0,195.53,0.07191448007774538
BORDET,407,1027.23,2.52,84,58.0,4.0,14.25,0.98,75.0,BORDET,1633.0,165.0,126.0,1633.0,1677.47,0.16229348882410108
BORNEM,90,333.33,3.7,19,21.0,2.0,23.33,2.22,76.0,BORNEM,830.0,265.0,221.0,830.0,276.66,0.0184645286686103
BOSVOORDE,378,1340.65,3.55,79,107.0,14.0,28.31,3.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.18658892128279883
BOUSSU,78,266.15,3.41,16,16.0,2.0,20.51,2.56,77.0,BOUSSU,184.0,106.0,91.0,184.0,48.97,0.0369290573372206
BOUWEL,290,646.15,2.23,59,33.0,7.0,11.38,2.41,78.0,BOUWEL,467.0,149.0,199.0,467.0,301.75,0.1000971817298348
BRACQUEGNIES,186,334.75,1.8,38,22.0,6.0,11.83,3.23,79.0,BRACQUEGNIES,119.0,25.0,25.0,119.0,39.84,0.08066083576287658
BRAINE-ALLIANCE,370,875.83,2.37,75,51.0,5.0,13.78,1.35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1379980563654033
BRAINE-L'ALLEUD,368,840.33,2.28,75,45.0,5.0,12.23,1.36,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16229348882410108
BRAINE-LE-COMTE,354,1044.07,2.95,74,61.0,4.0,17.23,1.13,81.0,BRAINE-LE-COMTE,5298.0,1375.0,1093.0,5298.0,5531.48,0.16132167152575316
BRESSOUX,119,125.75,1.06,24,3.0,1.0,2.52,0.84,82.0,BRESSOUX,145.0,46.0,29.0,145.0,18.23,0.024295432458697766
BRUGELETTE,91,213.05,2.34,20,12.0,2.0,13.19,2.2,92.0,BRUGELETTE,294.0,57.0,45.0,294.0,62.64,0.03304178814382896
BRUGGE,463,705.4,1.52,96,33.0,7.0,7.13,1.51,93.0,BRUGGE,18091.0,12737.0,12249.0,18091.0,12761.39,0.20894071914480078
BRUGGE-SINT-PIETERS,248,364.43,1.47,51,12.0,2.0,4.84,0.81,94.0,BRUGGE-SINT-PIETERS,99.0,12.0,7.0,99.0,36.08,0.07482993197278912
BRUSSEL-CENTRAAL,2016,9991.55,4.96,419,707.0,73.0,35.07,3.62,0.0,0,0.0,0.0,0.0,0.0,0.0,0.956268221574344
BRUSSEL-CONGRES,2010,7875.85,3.92,418,528.0,64.0,26.27,3.18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9795918367346939
BRUSSEL-KAPELLEKERK,1997,7312.53,3.66,416,412.0,62.0,20.63,3.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9931972789115646
BRUSSEL-LUXEMBURG,669,1915.3,2.86,139,126.0,11.0,18.83,1.64,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3556851311953353
BRUSSEL-NOORD,2011,7180.82,3.57,419,471.0,58.0,23.42,2.88,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9931972789115646
BRUSSEL-SCHUMAN,662,1930.25,2.92,139,130.0,13.0,19.64,1.96,0.0,0,0.0,0.0,0.0,0.0,0.0,0.34402332361516036
BRUSSEL-WEST,60,178.93,2.98,12,12.0,1.0,20.0,1.67,0.0,0,0.0,0.0,0.0,0.0,0.0,0.025267249757045675
BRUSSEL-ZUID,1908,6403.65,3.36,395,347.0,60.0,18.19,3.14,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
BRUSSELS AIRPORT - ZAVENTEM,336,761.68,2.27,71,46.0,4.0,13.69,1.19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.239067055393586
BUDA,370,721.22,1.95,76,45.0,4.0,12.16,1.08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.22546161321671526
BUGGENHOUT,142,312.4,2.2,29,17.0,2.0,11.97,1.41,96.0,BUGGENHOUT,562.0,236.0,187.0,562.0,175.57,0.0456754130223518
BUIZINGEN,426,1367.1,3.21,95,88.0,17.0,20.66,3.99,97.0,BUIZINGEN,514.0,175.0,114.0,514.0,702.69,0.20505344995140914
BURST,255,650.82,2.55,53,36.0,11.0,14.12,4.31,98.0,BURST,927.0,128.0,110.0,927.0,603.31,0.13313896987366375
CALLENELLE,148,318.42,2.15,30,19.0,5.0,12.84,3.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.056365403304178816
CAMBRON-CASTEAU,91,215.63,2.37,20,11.0,1.0,12.09,1.1,100.0,CAMBRON-CASTEAU,156.0,251.0,146.0,156.0,33.64,0.034013605442176874
CARLSBOURG,60,57.87,0.96,12,1.0,0.0,1.67,0.0,101.0,CARLSBOURG,44.0,11.0,34.0,44.0,2.55,0.031098153547133137
CARNIERES,185,388.15,2.1,38,21.0,5.0,11.35,2.7,102.0,CARNIERES,111.0,38.0,22.0,111.0,43.08,0.09718172983479106
CEROUX-MOUSTY,131,139.88,1.07,29,6.0,0.0,4.58,0.0,103.0,CEROUX-MOUSTY,170.0,27.0,20.0,170.0,23.78,0.07191448007774538
CHAPELLE-DIEU,45,48.53,1.08,9,2.0,0.0,4.44,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0029154518950437317
CHAPOIS,118,231.22,1.96,25,14.0,3.0,11.86,2.54,105.0,CHAPOIS,48.0,29.0,14.0,48.0,11.1,0.07580174927113703
CHARLEROI-CENTRAL,442,760.95,1.72,92,29.0,7.0,6.56,1.58,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25170068027210885
